epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,8.22207,1.91283,4.11336,4.72807,1.34114,0,0,0,0,0,0,0,0,0,1.63942,4.52746,4.48172,1.58488,0,0,0,0
2,12.8101,2.0022,4.21646,4.55421,1.6113,0,0,0,0,0,0,0,0,0,1.61283,4.4548,4.49028,1.58836,0,4.66575e-06,4.66575e-06,4.66575e-06
3,15.5528,2.17095,5.7013,4.62415,1.47232,0,0,0,0,0,0,0,0,0,1.56818,4.38182,4.4949,1.58998,0,9.14301e-06,9.14301e-06,9.14301e-06
4,18.3323,1.74263,4.16367,4.42625,1.16361,0,0,0,0,0,0,0,0,0,1.52721,4.373,4.49401,1.59149,0,1.34318e-05,1.34318e-05,1.34318e-05
5,21.3169,1.74673,3.96065,4.3918,1.45072,0,0,0,0,0,0,0,0,0,1.52721,4.373,4.49401,1.59149,0,1.7532e-05,1.7532e-05,1.7532e-05
6,23.3761,1.72223,4.51783,4.24669,1.38139,0,0,0,0,0,0,0,0,0,1.51418,4.26159,4.48838,1.60573,0,2.14438e-05,2.14438e-05,2.14438e-05
7,25.1546,2.48998,5.5291,4.41202,2.28884,0,0,0,0,0,0,0,0,0,1.51418,4.26159,4.48838,1.60573,0,2.51671e-05,2.51671e-05,2.51671e-05
8,27.1966,1.69724,5.09526,4.48386,1.49591,0,0,0,0,0,0,0,0,0,1.55461,4.1362,4.50068,1.61362,0,2.87018e-05,2.87018e-05,2.87018e-05
9,29.67,1.19942,4.69312,4.38827,1.12421,0,0,0,0,0,0,0,0,0,1.55461,4.1362,4.50068,1.61362,0,3.20481e-05,3.20481e-05,3.20481e-05
10,32.0331,1.48342,3.70719,4.40172,1.27079,0,0,0,0,0,0,0,0,0,1.58439,4.03702,4.47793,1.5912,0,3.52059e-05,3.52059e-05,3.52059e-05
11,33.9587,1.51948,4.72961,4.76009,1.39838,0,0,0,0,0,0,0,0,0,1.58439,4.03702,4.47793,1.5912,0,3.81752e-05,3.81752e-05,3.81752e-05
12,35.6729,1.87548,3.16254,4.65499,1.42079,0,0,0,0,0,0,0,0,0,1.58439,4.03702,4.47793,1.5912,0,4.0956e-05,4.0956e-05,4.0956e-05
13,37.44,1.79792,4.32719,4.26176,1.66179,0,0,0,0,0,0,0,0,0,1.65993,3.85752,4.45735,1.6039,0,4.35483e-05,4.35483e-05,4.35483e-05
14,39.1099,1.51362,3.59038,4.70575,1.31098,0,0,0,0,0,0,0,0,0,1.65993,3.85752,4.45735,1.6039,0,4.59521e-05,4.59521e-05,4.59521e-05
