epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,3.61553,1.60937,4.78132,4.44567,1.35636,0,0,0,0,0,0,0,0,0,1.65527,4.46222,4.47727,1.61078,0,0,0,0
2,8.18944,2.05199,4.44998,4.66302,1.42966,0,0,0,0,0,0,0,0,0,1.63582,4.3872,4.48148,1.6089,0,4.66575e-06,4.66575e-06,4.66575e-06
3,13.3336,1.72029,4.65407,4.2646,1.37897,0,0,0,0,0,0,0,0,0,1.62951,4.37739,4.48802,1.64238,0,9.14301e-06,9.14301e-06,9.14301e-06
4,17.8524,1.78724,4.5379,4.70167,1.46026,0,0,0,0,0,0,0,0,0,1.61892,4.27668,4.4953,1.62728,0,1.34318e-05,1.34318e-05,1.34318e-05
5,22.7843,2.46287,4.53075,4.85658,1.75964,0,0,0,0,0,0,0,0,0,1.61892,4.27668,4.4953,1.62728,0,1.7532e-05,1.7532e-05,1.7532e-05
6,27.7099,1.70312,3.7871,4.34014,1.37727,0,0,0,0,0,0,0,0,0,1.54634,4.26922,4.48993,1.60994,0,2.14438e-05,2.14438e-05,2.14438e-05
7,32.0549,1.39619,6.22725,4.20222,1.25613,0,0,0,0,0,0,0,0,0,1.54634,4.26922,4.48993,1.60994,0,2.51671e-05,2.51671e-05,2.51671e-05
8,37.1227,1.92046,4.7566,4.41381,1.35924,0,0,0,0,0,0,0,0,0,1.60759,4.13366,4.51292,1.61424,0,2.87018e-05,2.87018e-05,2.87018e-05
9,41.7942,1.50041,4.24049,4.20809,1.12929,0,0,0,0,0,0,0,0,0,1.60759,4.13366,4.51292,1.61424,0,3.20481e-05,3.20481e-05,3.20481e-05
10,46.9664,1.52618,3.80906,4.8611,1.48145,0,0,0,0,0,0,0,0,0,1.64944,4.00025,4.52175,1.63244,0,3.52059e-05,3.52059e-05,3.52059e-05
11,51.0995,2.17503,5.34932,4.06449,2.15563,0,0,0,0,0,0,0,0,0,1.64944,4.00025,4.52175,1.63244,0,3.81752e-05,3.81752e-05,3.81752e-05
12,55.8916,1.64851,3.58886,4.28087,1.35035,0,0,0,0,0,0,0,0,0,1.64944,4.00025,4.52175,1.63244,0,4.0956e-05,4.0956e-05,4.0956e-05
13,60.0725,1.4357,3.82807,4.44884,1.33408,0,0,0,0,0,0,0,0,0,1.70843,3.83185,4.46833,1.69961,0,4.35483e-05,4.35483e-05,4.35483e-05
14,64.7744,1.73661,3.93504,4.54675,1.40003,0,0,0,0,0,0,0,0,0,1.70843,3.83185,4.46833,1.69961,0,4.59521e-05,4.59521e-05,4.59521e-05
15,69.5168,1.31246,3.56804,4.34789,1.25362,0,0,0,0,0,0,0,0,0,1.70843,3.83185,4.46833,1.69961,0,4.81674e-05,4.81674e-05,4.81674e-05
